Date,Open,High,Low,Close,Volume,Adj Close
2007-12-31,59.419998,59.419998,58.50,58.610001,399300,47.382346
2007-12-28,58.450001,59.200001,58.450001,59.119999,287300,47.794646
2007-12-27,59.34,59.34,58.279999,58.560001,299700,47.341925
2007-12-26,58.919998,59.380001,58.610001,59.049999,286000,47.738056
2007-12-24,59.509998,59.509998,58.619999,58.919998,202400,47.632958
2007-12-21,59.27,59.27,58.419998,58.799999,275800,47.123645
2007-12-20,58.50,58.50,57.419998,57.830002,246800,46.346267
2007-12-19,57.310001,57.91,57.169998,57.599998,249600,46.161937
2007-12-18,57.509998,58.799999,56.849998,57.759998,289500,46.290164
2007-12-17,58.93,58.93,57.00,57.490002,653000,46.073783
2007-12-14,60.110001,60.110001,58.43,58.700001,319600,47.043503
2007-12-13,61.200001,61.200001,59.349998,60.130001,408700,48.189538
2007-12-12,62.139999,62.139999,60.50,61.060001,309300,48.934861
2007-12-11,62.00,62.00,59.759998,60.169998,325200,48.221593
2007-12-10,61.52,61.900002,61.380001,61.779999,297200,49.511883
2007-12-07,62.00,62.00,61.139999,61.200001,186700,49.04706
2007-12-06,60.849998,61.66,60.59,61.650002,214400,49.407701
2007-12-05,60.00,61.07,60.00,60.900002,194600,48.806634
2007-12-04,60.259998,60.259998,59.630001,59.759998,173700,47.893009
2007-12-03,60.00,60.369999,60.00,60.139999,123100,48.197551
2007-11-30,61.549999,61.549999,60.029999,60.34,338500,48.357836
2007-11-29,59.580002,60.459999,59.580002,60.310001,278300,48.333794
2007-11-28,59.380001,60.599998,58.860001,60.299999,248900,48.325778
2007-11-27,57.68,58.880001,57.68,58.880001,164800,47.18776
2007-11-26,60.700001,60.700001,57.619999,57.709999,317800,46.250094
2007-11-23,57.849998,58.93,57.849998,58.93,133200,47.22783
2007-11-21,58.830002,58.830002,57.099998,57.490002,248100,46.073783
2007-11-20,59.119999,59.27,58.18,58.849998,261400,47.163715
2007-11-19,59.68,59.68,57.599998,57.959999,285100,46.450449
2007-11-16,58.959999,59.66,58.759998,59.549999,226100,47.724711
2007-11-15,59.77,59.990002,58.849998,58.939999,371600,47.235843
2007-11-14,61.279999,61.310001,60.16,60.27,448800,48.301737
2007-11-13,58.73,60.509998,58.73,60.509998,182000,48.494076
2007-11-12,60.00,60.00,58.330002,58.330002,218500,46.746978
2007-11-09,60.830002,60.830002,59.66,60.049999,507700,48.125423
2007-11-08,62.00,62.00,60.099998,61.32,269600,49.14323
2007-11-07,62.060001,62.150002,60.709999,61.080002,461000,48.95089
2007-11-06,62.00,62.549999,61.610001,62.549999,189700,50.128979
2007-11-05,61.150002,61.380001,60.00,61.200001,341000,49.04706
2007-11-02,62.25,62.25,61.50,62.18,205600,49.832454
2007-11-01,62.790001,62.790001,61.630001,62.00,368000,49.688197
2007-10-31,63.00,63.720001,62.68,63.490002,225600,50.882318
2007-10-30,62.84,62.84,62.50,62.540001,197000,50.120966
2007-10-29,62.82,63.119999,62.639999,63.080002,165800,50.553735
2007-10-26,61.830002,62.310001,61.700001,62.290001,248500,49.920611
2007-10-25,61.02,61.119999,60.419998,60.900002,108600,48.806634
2007-10-24,60.849998,60.98,59.66,60.98,120300,48.870746
2007-10-23,60.849998,60.98,60.349998,60.98,138600,48.870746
2007-10-22,59.419998,60.00,59.00,60.00,294600,48.085352
2007-10-19,61.110001,61.220001,59.810001,60.040001,357800,48.11741
2007-10-18,61.209999,61.580002,61.009998,61.549999,108600,49.327557
2007-10-17,61.23,61.400002,60.630001,61.220001,122500,49.063089
2007-10-16,61.00,61.029999,60.360001,60.549999,163800,48.526134
2007-10-15,62.110001,62.139999,61.189999,61.48,202900,49.271457
2007-10-12,61.650002,62.02,61.610001,61.869999,111400,49.584011
2007-10-11,62.150002,62.459999,61.27,61.27,210200,49.103159
2007-10-10,61.470001,61.619999,61.139999,61.299999,248600,49.127201
2007-10-09,61.07,61.610001,60.900002,61.610001,217200,49.375643
2007-10-08,61.09,61.09,60.529999,60.82,169800,48.742518
2007-10-05,60.950001,61.50,60.950001,61.41,209000,49.215358
2007-10-04,60.349998,60.509998,60.00,60.380001,222800,48.389894
2007-10-03,60.580002,60.580002,60.080002,60.25,189200,48.285708
2007-10-02,60.84,60.84,60.330002,60.700001,179500,48.646349
2007-10-01,59.970001,60.799999,59.900002,60.720001,131600,48.662377
2007-09-28,59.869999,59.91,59.490002,59.689999,244100,47.83691
2007-09-27,59.599998,59.700001,59.419998,59.650002,160100,47.804856
2007-09-26,58.959999,59.080002,58.610001,58.610001,268900,46.971375
2007-09-25,58.349998,58.66,58.220001,58.57,169200,46.939318
2007-09-24,58.75,58.919998,58.369999,58.52,458900,46.899247
2007-09-21,58.27,58.509998,58.16,58.360001,140800,46.77102
2007-09-20,58.189999,58.200001,57.650002,57.990002,112500,46.474494
2007-09-19,58.209999,58.400002,57.759998,57.93,285800,46.426408
2007-09-18,56.07,57.75,55.869999,57.75,422400,46.282151
2007-09-17,55.93,55.98,55.290001,55.59,160300,44.551079
2007-09-14,56.099998,56.349998,55.950001,56.200001,146300,45.039947
2007-09-13,56.490002,56.740002,56.360001,56.459999,80100,45.248316
2007-09-12,55.950001,56.290001,55.689999,56.099998,126800,44.959803
2007-09-11,55.75,56.060001,55.560001,56.060001,146800,44.927748
2007-09-10,55.509998,55.509998,54.529999,55.18,76600,44.222496
2007-09-07,55.419998,55.509998,54.939999,55.18,176100,44.222496
2007-09-06,55.950001,56.209999,55.630001,56.07,68100,44.935761
2007-09-05,55.900002,55.900002,55.41,55.619999,357200,44.575121
2007-09-04,56.049999,56.810001,55.799999,56.630001,150200,45.384559
2007-08-31,56.290001,56.48,55.849998,56.23,102500,45.063989
2007-08-30,54.43,55.50,54.43,54.93,101000,44.02214
2007-08-29,54.52,55.330002,54.439999,55.32,113000,44.334694
2007-08-28,54.970001,54.970001,53.759998,53.759998,206000,43.084474
2007-08-27,55.450001,55.50,55.00,55.240002,84200,44.270582
2007-08-24,54.810001,55.560001,54.610001,55.560001,114000,44.527037
2007-08-23,54.959999,55.07,54.25,54.619999,272800,43.773698
2007-08-22,53.889999,54.419998,53.880001,54.419998,126300,43.613413
2007-08-21,52.919998,53.119999,52.630001,52.900002,146100,42.395253
2007-08-20,53.299999,53.32,52.389999,53.209999,144400,42.643692
2007-08-17,54.00,64.510002,51.009998,53.080002,263000,42.53951
2007-08-16,51.700001,52.00,50.400002,51.759998,424100,41.481629
2007-08-15,53.02,53.650002,52.50,52.509998,358900,42.082696
2007-08-14,55.080002,55.080002,53.810001,53.849998,172700,43.156602
2007-08-13,55.450001,55.619999,54.50,54.50,135300,43.677528
2007-08-10,54.25,54.93,54.00,54.599998,193400,43.757669
2007-08-09,55.799999,55.810001,54.900002,55.049999,234500,44.11831
2007-08-08,56.700001,57.389999,56.610001,57.040001,195700,45.713142
2007-08-07,55.57,56.380001,55.389999,56.09,188900,44.95179
2007-08-06,55.200001,56.02,55.00,56.02,187000,44.895691
2007-08-03,56.240002,56.240002,55.00,55.00,109000,44.07824
2007-08-02,56.50,56.50,55.950001,56.360001,115400,45.168175
2007-08-01,55.950001,56.459999,55.240002,56.369999,193200,45.176188
2007-07-31,57.00,57.349998,56.25,56.34,208500,45.152146
2007-07-30,56.220001,56.650002,55.91,56.619999,193800,45.376543
2007-07-27,56.290001,56.75,55.330002,56.75,183600,45.480729
2007-07-26,57.400002,57.400002,55.549999,56.330002,271000,45.144133
2007-07-25,58.560001,58.720001,57.75,58.290001,199500,46.71492
2007-07-24,59.189999,59.189999,58.049999,58.580002,165300,46.947334
2007-07-23,59.599998,59.599998,59.23,59.549999,123500,47.724711
2007-07-20,59.48,59.48,58.57,58.790001,195700,47.115632
2007-07-19,59.50,59.549999,59.259998,59.419998,133100,47.620526
2007-07-18,59.099998,59.099998,58.50,58.990002,129100,47.275917
2007-07-17,59.450001,59.450001,59.209999,59.419998,178200,47.620526
2007-07-16,59.48,59.630001,59.200001,59.299999,193600,47.524356
2007-07-13,59.599998,59.700001,59.349998,59.509998,191400,47.692654
2007-07-12,58.759998,59.580002,58.639999,59.540001,169600,47.716699
2007-07-11,58.200001,58.52,57.990002,58.450001,155900,46.843148
2007-07-10,58.540001,58.540001,57.93,57.970001,205200,46.458465
2007-07-09,58.849998,58.900002,58.650002,58.779999,174800,47.107616
2007-07-06,58.09,58.470001,58.02,58.389999,211800,46.795061
2007-07-05,58.299999,58.299999,57.630001,57.990002,184400,46.474494
