Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,65.120003,65.809998,64.889999,65.800003,3718700,59.162179
2012-12-28,65.339996,65.720001,65.059998,65.110001,1990300,58.541784
2012-12-27,65.410004,65.660004,64.809998,65.540001,2305800,58.928406
2012-12-26,65.910004,65.910004,65.139999,65.300003,1724100,58.712619
2012-12-24,65.57,65.809998,65.290001,65.610001,1802600,58.991344
2012-12-21,65.879997,66.559998,65.68,66.32,2252500,58.913119
2012-12-20,65.480003,66.459999,65.480003,66.43,2695600,59.010834
2012-12-19,65.959999,65.989998,65.540001,65.57,3408800,58.246882
2012-12-18,65.199997,65.660004,65.059998,65.660004,2532300,58.326834
2012-12-17,64.949997,65.059998,64.650002,64.989998,2315800,57.731657
2012-12-14,64.669998,64.82,64.489998,64.650002,2544500,57.429633
2012-12-13,65.00,65.239998,64.449997,64.660004,2614500,57.438518
2012-12-12,65.529999,65.68,64.900002,65.160004,2335300,57.882676
2012-12-11,65.419998,65.519997,65.199997,65.339996,2086900,58.042566
2012-12-10,65.300003,65.489998,65.050003,65.18,1934200,57.900439
2012-12-07,65.050003,65.220001,64.93,65.209999,2812900,57.927088
2012-12-06,64.559998,64.989998,64.349998,64.970001,2335500,57.713894
2012-12-05,64.610001,64.690002,64.129997,64.370003,2487100,57.180906
2012-12-04,64.379997,64.910004,64.339996,64.57,2379700,57.358566
2012-12-03,64.480003,64.849998,64.279999,64.470001,3735500,57.269736
2012-11-30,64.099998,64.519997,64.029999,64.209999,3312300,57.038772
2012-11-29,64.129997,64.150002,63.540001,64.080002,3011100,56.923293
2012-11-28,63.700001,63.799999,63.110001,63.73,5931100,56.612381
2012-11-27,63.66,64.389999,63.259998,63.810001,5494200,56.683447
2012-11-26,63.900002,64.610001,63.700001,64.169998,3668600,57.003238
2012-11-23,63.799999,64.089996,63.599998,64.040001,921500,56.88776
2012-11-21,63.720001,63.860001,63.240002,63.57,1954000,56.47025
2012-11-20,63.299999,63.68,62.860001,63.68,2490200,56.567965
2012-11-19,63.130001,63.389999,62.799999,63.209999,2112300,56.150456
2012-11-16,62.110001,62.50,61.66,62.439999,2446300,55.466452
2012-11-15,62.380001,62.73,61.689999,62.060001,3151600,55.128894
2012-11-14,63.810001,63.810001,62.150002,62.349998,2489400,55.386503
2012-11-13,63.349998,63.91,63.25,63.540001,1648100,56.443602
2012-11-12,63.860001,63.919998,63.349998,63.59,1182200,56.488017
2012-11-09,63.779999,64.190002,63.450001,63.740002,2400500,56.621266
2012-11-08,64.699997,64.699997,63.900002,63.91,1793200,56.772278
2012-11-07,64.610001,64.940002,64.370003,64.68,2476300,57.456281
2012-11-06,64.919998,65.099998,64.550003,64.970001,1415100,57.713894
2012-11-05,65.120003,65.199997,64.300003,64.690002,1633100,57.465166
2012-11-02,65.059998,65.57,65.010002,65.120003,2587100,57.847143
2012-11-01,64.50,64.949997,64.220001,64.690002,2311200,57.465166
2012-10-31,64.040001,64.440002,63.740002,64.379997,2616900,57.189784
2012-10-26,64.300003,64.300003,63.400002,63.759998,2320000,56.639029
2012-10-25,64.860001,65.150002,63.68,64.32,2028200,57.136487
2012-10-24,64.720001,64.949997,64.300003,64.50,1701100,57.296384
