Date,Open,High,Low,Close,Volume,Adj Close
2010-12-31,64.82,65.00,64.739998,64.93,5170800,59.186167
2010-12-30,64.949997,65.120003,64.879997,64.959999,5767700,59.213512
2010-12-29,65.080002,65.160004,64.989998,65.040001,6472400,59.286437
2010-12-28,65.00,65.029999,64.769997,64.940002,715300,59.195284
2010-12-27,64.650002,64.93,64.540001,64.879997,2789900,59.140587
2010-12-23,64.900002,64.980003,64.709999,64.839996,1424100,59.104125
2010-12-22,64.809998,65.019997,64.769997,64.93,2097600,59.186167
2010-12-21,64.910004,65.139999,64.809998,65.029999,1370400,58.961926
2010-12-20,64.690002,64.800003,64.330002,64.639999,1739000,58.608318
2010-12-17,64.349998,64.580002,64.220001,64.470001,17309800,58.454183
2010-12-16,64.040001,64.410004,63.810001,64.349998,11039900,58.345377
2010-12-15,64.199997,64.459999,63.869999,63.970001,16901300,58.000838
2010-12-14,64.349998,64.559998,64.080002,64.25,13621700,58.25471
2010-12-13,64.489998,64.57,64.199997,64.230003,9472500,58.236579
2010-12-10,64.029999,64.25,63.810001,64.209999,2079900,58.218442
2010-12-09,63.959999,63.959999,63.52,63.799999,1478600,57.8467
2010-12-08,63.52,63.68,63.169998,63.57,937400,57.638162
2010-12-07,63.939999,64.019997,63.34,63.389999,2037200,57.474958
2010-12-06,63.259998,63.459999,63.150002,63.32,1132400,57.41149
2010-12-03,62.919998,63.43,62.880001,63.34,1549800,57.429624
2010-12-02,62.419998,63.16,62.400002,63.139999,1661400,57.248286
2010-12-01,61.919998,62.450001,61.919998,62.34,1611600,56.522936
2010-11-30,60.799999,61.389999,60.709999,61.029999,2400700,55.335173
2010-11-29,61.09,61.540001,60.66,61.41,1372800,55.679716
2010-11-26,61.419998,61.73,61.330002,61.50,351900,55.761318
2010-11-24,61.349998,61.919998,61.349998,61.919998,924600,56.142125
2010-11-23,61.139999,61.200001,60.689999,60.939999,1481100,55.253571
2010-11-22,61.52,61.82,61.09,61.82,2431800,56.051458
2010-11-19,61.57,61.84,61.220001,61.810001,3205800,56.042392
2010-11-18,61.290001,61.779999,61.290001,61.560001,2305100,55.81572
2010-11-17,60.610001,60.919998,60.470001,60.709999,1101300,55.045033
2010-11-16,61.23,61.310001,60.32,60.610001,2115400,54.954366
2010-11-15,61.869999,62.119999,61.57,61.59,804900,55.84292
2010-11-12,62.00,62.299999,61.389999,61.68,1219800,55.924522
2010-11-11,62.130001,62.57,61.939999,62.470001,947900,56.640806
2010-11-10,62.32,62.650002,61.889999,62.639999,897200,56.794942
2010-11-09,63.00,63.099998,62.099998,62.369999,1001800,56.550135
2010-11-08,62.75,62.91,62.529999,62.860001,1005700,56.994414
2010-11-05,62.740002,63.029999,62.639999,62.939999,1623900,57.066947
2010-11-04,62.189999,62.68,62.110001,62.66,1676600,56.813076
2010-11-03,61.349998,61.48,60.709999,61.459999,1444800,55.725049
2010-11-02,61.209999,61.34,60.959999,61.209999,1004000,55.498377
2010-11-01,61.040001,61.34,60.369999,60.73,1084000,55.063168
2010-10-29,60.59,60.799999,60.470001,60.720001,1665700,55.054102
2010-10-28,60.950001,61.02,60.330002,60.639999,1896900,54.981565
2010-10-27,60.369999,60.68,60.060001,60.639999,2228900,54.981565
2010-10-26,60.43,60.860001,60.299999,60.759998,905500,55.090367
2010-10-25,60.93,61.299999,60.709999,60.77,1865900,55.099436
2010-10-22,60.529999,60.599998,60.330002,60.57,792300,54.918098
2010-10-21,60.610001,60.900002,59.900002,60.389999,2393200,54.754893
2010-10-20,59.77,60.580002,59.77,60.290001,1665500,54.664226
2010-10-19,59.950001,60.32,59.34,59.689999,3053600,54.120211
2010-10-18,60.290001,60.709999,60.169998,60.57,2811800,54.918098
2010-10-15,60.50,60.639999,59.790001,60.240002,1934400,54.618892
2010-10-14,60.34,60.419998,59.779999,60.189999,1615200,54.573555
2010-10-13,60.169998,60.68,60.060001,60.349998,1612000,54.718625
2010-10-12,59.540001,60.029999,59.119999,59.880001,1504000,54.292484
2010-10-11,59.759998,59.82,59.490002,59.669998,1040200,54.102077
2010-10-08,59.259998,59.740002,59.060001,59.580002,1145100,54.020478
2010-10-07,59.48,59.509998,58.84,59.18,1157400,53.657802
2010-10-06,59.299999,59.459999,59.02,59.259998,1312200,53.730335
2010-10-05,58.650002,59.459999,58.580002,59.32,2023200,53.784737
2010-10-04,58.509998,58.75,57.849998,58.110001,4304800,52.687646
2010-10-01,58.849998,58.880001,58.27,58.630001,3235500,53.159124
2010-09-30,58.869999,59.200001,58.099998,58.369999,2636800,52.923383
2010-09-29,58.470001,58.720001,58.27,58.50,1842400,53.041254
2010-09-28,58.34,58.720001,57.740002,58.599998,3132100,53.131921
2010-09-27,58.610001,58.66,58.240002,58.27,1903100,52.832716
2010-09-24,57.98,58.549999,57.919998,58.52,2377700,53.059388
2010-09-23,57.610001,58.240002,57.470001,57.599998,3749800,51.955948
2010-09-22,58.27,58.639999,57.91,58.099998,4076300,52.406954
2010-09-21,58.57,58.860001,58.220001,58.41,2983400,52.686579
