Date,Open,High,Low,Close,Volume,Adj Close
2010-12-31,47.419998,47.919998,47.419998,47.73,774500,41.242695
2010-12-30,47.48,47.91,47.23,47.470001,1228200,41.018035
2010-12-29,47.43,47.610001,47.360001,47.450001,930300,41.000753
2010-12-28,47.16,47.259998,46.990002,47.119999,726100,40.715604
2010-12-27,46.950001,47.189999,46.84,46.990002,680700,40.603275
2010-12-23,47.060001,47.169998,47.00,47.080002,852600,40.681043
2010-12-22,47.099998,47.150002,47.00,47.150002,805200,40.741528
2010-12-21,48.00,48.09,47.970001,48.02,1164500,40.612777
2010-12-20,47.790001,47.790001,47.419998,47.580002,643000,40.240649
2010-12-17,47.580002,47.639999,47.34,47.610001,677900,40.266021
2010-12-16,47.57,47.830002,47.41,47.77,620500,40.40134
2010-12-15,47.84,47.990002,47.389999,47.490002,959200,40.164532
2010-12-14,48.119999,48.419998,48.040001,48.16,755200,40.731181
2010-12-13,48.060001,48.349998,47.939999,48.110001,946500,40.688894
2010-12-10,47.470001,47.689999,47.32,47.669998,641400,40.316763
2010-12-09,47.619999,47.650002,47.259998,47.52,712500,40.189903
2010-12-08,47.459999,47.650002,47.080002,47.470001,554100,40.147616
2010-12-07,48.080002,48.119999,47.380001,47.43,1086900,40.113786
2010-12-06,47.259998,47.490002,47.189999,47.419998,720600,40.105327
2010-12-03,47.16,47.669998,47.119999,47.599998,568400,40.257561
2010-12-02,46.369999,47.25,46.330002,47.25,1386100,39.961551
2010-12-01,46.060001,46.360001,45.959999,46.299999,2401100,39.158091
2010-11-30,44.939999,45.43,44.84,45.099998,1054700,38.143194
2010-11-29,45.439999,45.709999,45.00,45.57,850800,38.540696
2010-11-26,45.860001,46.07,45.77,45.830002,252400,38.760592
2010-11-24,46.32,46.650002,46.32,46.619999,623800,39.42873
2010-11-23,46.240002,46.32,45.73,45.830002,865700,38.760592
2010-11-22,47.169998,47.41,46.700001,47.27,783900,39.978466
2010-11-19,47.290001,47.619999,47.009998,47.599998,682600,40.257561
2010-11-18,47.439999,47.619999,47.380001,47.580002,738300,40.240649
2010-11-17,46.48,46.709999,46.349998,46.470001,542500,39.301869
2010-11-16,46.98,47.00,46.049999,46.25,1127900,39.115804
2010-11-15,47.669998,47.799999,47.389999,47.419998,937300,40.105327
2010-11-12,47.73,47.990002,47.130001,47.450001,738400,40.130701
2010-11-11,47.990002,48.060001,47.759998,48.00,973700,40.595861
2010-11-10,48.400002,48.50,47.779999,48.41,776700,40.942618
2010-11-09,49.00,49.080002,47.98,48.200001,4419900,40.765012
2010-11-08,48.610001,48.75,48.389999,48.700001,839700,41.187885
2010-11-05,48.98,49.139999,48.75,48.919998,1575500,41.373947
2010-11-04,48.900002,49.169998,48.799999,49.169998,1020500,41.585384
